Name,Division ID,Event,Adjusted Total,rank,Quaich Tour Points
Rick Rick,MPO,Scottish Matchplay Championships - Ides of Match,1,1.0,100
Ben Preston,MPO,Scottish Matchplay Championships - Ides of Match,2,2.0,97
Pete Dawson,MPO,Scottish Matchplay Championships - Ides of Match,3,3.0,94
Benji Heywood,MPO,Scottish Matchplay Championships - Ides of Match,4,4.0,92
Charlie Obrien,MPO,Scottish Matchplay Championships - Ides of Match,5,5.0,89
Chris O'Brien,MPO,Scottish Matchplay Championships - Ides of Match,6,6.0,86
Andrew Finlay,MPO,Scottish Matchplay Championships - Ides of Match,7,7.0,84
Chris Smith,MPO,Scottish Matchplay Championships - Ides of Match,8,8.0,81
Seamus Scanlon,MPO,Scottish Matchplay Championships - Ides of Match,9,9.0,89
Lloyd Wells,MPO,Scottish Matchplay Championships - Ides of Match,10,10.0,86
Alan Davidson,MPO,Scottish Matchplay Championships - Ides of Match,11,11.0,84
Paul Hodgson,MPO,Scottish Matchplay Championships - Ides of Match,12,12.0,81
Trevor Bechtel,MPO,Scottish Matchplay Championships - Ides of Match,13,13.0,79
Laurence Jordan,MPO,Scottish Matchplay Championships - Ides of Match,14,14.0,76
Christopher Burrows,MPO,Scottish Matchplay Championships - Ides of Match,15,15.0,73
Fergus McLean,MPO,Scottish Matchplay Championships - Ides of Match,16,16.0,71
Tiffany Strandbygaard,MPO,Scottish Matchplay Championships - Ides of Match,17,17.0,79
Graham McGill,MPO,Scottish Matchplay Championships - Ides of Match,18,18.0,76
Cole Hamilton,MPO,Scottish Matchplay Championships - Ides of Match,19,19.0,73
Graham Robbie,MPO,Scottish Matchplay Championships - Ides of Match,20,20.0,71
Rob Ng,MPO,Scottish Matchplay Championships - Ides of Match,21,21.0,68
Jack Edgar,MPO,Scottish Matchplay Championships - Ides of Match,22,22.0,66
James McHardy,MPO,Scottish Matchplay Championships - Ides of Match,23,23.0,63
Fergus Bolton,MPO,Scottish Matchplay Championships - Ides of Match,24,24.0,60
Kyle Roderick,MPO,Scottish Matchplay Championships - Ides of Match,25,25.0,68
Paul Molloy,MPO,Scottish Matchplay Championships - Ides of Match,26,26.0,66
John Clark,MPO,Scottish Matchplay Championships - Ides of Match,27,27.0,63
Thomas Wells,MPO,Scottish Matchplay Championships - Ides of Match,28,28.0,60
Callum Taylor,MPO,Scottish Matchplay Championships - Ides of Match,29,29.0,58
Ritchie Gardner,MPO,Scottish Matchplay Championships - Ides of Match,30,30.0,55
Alan Young,MPO,Scottish Matchplay Championships - Ides of Match,31,31.0,53
Joe Cohen,MPO,Scottish Matchplay Championships - Ides of Match,32,32.0,50
Hugh Watson,MPO,Scottish Matchplay Championships - Ides of Match,33,33.0,58
Richard Clegg,MPO,Scottish Matchplay Championships - Ides of Match,34,34.0,55
Alex Burton,MPO,Scottish Matchplay Championships - Ides of Match,35,35.0,53
Peter Morrison,MPO,Scottish Matchplay Championships - Ides of Match,36,36.0,50
Matthew Dooner,MPO,Scottish Matchplay Championships - Ides of Match,37,37.0,47
Peter Keightley,MPO,Scottish Matchplay Championships - Ides of Match,38,38.0,45
Gareth Picton,MPO,Scottish Matchplay Championships - Ides of Match,39,39.0,42
John Wilson,MPO,Scottish Matchplay Championships - Ides of Match,40,40.0,40
Laura Fyfe,MPO,Scottish Matchplay Championships - Ides of Match,41,41.0,47
Carl Roderick,MPO,Scottish Matchplay Championships - Ides of Match,42,42.0,45
Danny Glen,MPO,Scottish Matchplay Championships - Ides of Match,43,43.0,42
Dakota Timming,MPO,Scottish Matchplay Championships - Ides of Match,44,44.0,40
Euan Boyle,MPO,Scottish Matchplay Championships - Ides of Match,45,45.0,37
Anthony Jackson,MPO,Scottish Matchplay Championships - Ides of Match,46,46.0,34
Kristopher Glen,MPO,Scottish Matchplay Championships - Ides of Match,47,47.0,32
Jason Glen,MPO,Scottish Matchplay Championships - Ides of Match,48,48.0,29
Phil Kirby,MPO,Scottish Matchplay Championships - Ides of Match,49,49.0,37
Ryan Junor,MPO,Scottish Matchplay Championships - Ides of Match,50,50.0,34
Tom Warren,MPO,Scottish Matchplay Championships - Ides of Match,51,51.0,32
Ross Brown,MPO,Scottish Matchplay Championships - Ides of Match,52,52.0,29
Hamish Dickson,MPO,Scottish Matchplay Championships - Ides of Match,53,53.0,27
Gavin Devlin,MPO,Scottish Matchplay Championships - Ides of Match,54,54.0,24
Andrew Wilson,MPO,Scottish Matchplay Championships - Ides of Match,55,55.0,21
Johnny Warren,MPO,Scottish Matchplay Championships - Ides of Match,56,56.0,19
Andrea Trevisan,MPO,Scottish Matchplay Championships - Ides of Match,57,57.0,27
Tommy Dunn,MPO,Scottish Matchplay Championships - Ides of Match,58,58.0,24
Adrian Mutei,MPO,Scottish Matchplay Championships - Ides of Match,59,59.0,21
Cammy Greig,MPO,Scottish Matchplay Championships - Ides of Match,60,60.0,19
Flora Rougvie,MPO,Scottish Matchplay Championships - Ides of Match,61,61.0,16
Tarran Fiddes,MPO,Scottish Matchplay Championships - Ides of Match,62,62.0,14
Roddy Hutchison,MPO,Scottish Matchplay Championships - Ides of Match,63,63.0,11
Barbara Rast Keightley,MPO,Scottish Matchplay Championships - Ides of Match,64,64.0,8
Richard Beaumont,MPO,Scottish Matchplay Championships - Ides of Match,65,65.0,6
Ross Johnstone,MPO,Scottish Matchplay Championships - Ides of Match,66,66.0,3
Dustin Keegan,MPO,Battle on the Bann ‘23 in association with Flickline Disc golf ,157.0,1.0,100
Zoe AnDyke,FPO,Battle on the Bann ‘23 in association with Flickline Disc golf ,176.0,2.0,97
Mark Oxer,MPO,Battle on the Bann ‘23 in association with Flickline Disc golf ,177.0,3.0,94
Benjamin Smith,MPO,Battle on the Bann ‘23 in association with Flickline Disc golf ,177.0,3.0,94
Jake Walpole,MPO,Battle on the Bann ‘23 in association with Flickline Disc golf ,179.0,5.0,88
Ben Matthews,MPO,Battle on the Bann ‘23 in association with Flickline Disc golf ,181.0,6.0,85
Daniel Morgan,MA1,Battle on the Bann ‘23 in association with Flickline Disc golf ,184.0,7.0,82
Jakob Zwank,MA1,Battle on the Bann ‘23 in association with Flickline Disc golf ,184.0,7.0,82
Patrick McGeough,MA1,Battle on the Bann ‘23 in association with Flickline Disc golf ,187.0,9.0,76
Sean Craig,MA1,Battle on the Bann ‘23 in association with Flickline Disc golf ,193.0,10.0,73
Chris Millar,MA1,Battle on the Bann ‘23 in association with Flickline Disc golf ,195.0,11.0,70
Andrew Coulter,MA1,Battle on the Bann ‘23 in association with Flickline Disc golf ,202.0,12.0,67
Sanyam McNie,MA40,Battle on the Bann ‘23 in association with Flickline Disc golf ,379.0,13.0,65
Graham McGill,MA40,Battle on the Bann ‘23 in association with Flickline Disc golf ,383.0,14.0,62
Harry McCallum,MA2,Battle on the Bann ‘23 in association with Flickline Disc golf ,390.0,15.0,59
Peter Morrison,MA2,Battle on the Bann ‘23 in association with Flickline Disc golf ,391.0,16.0,56
Jay Penn,MA2,Battle on the Bann ‘23 in association with Flickline Disc golf ,394.0,17.0,53
Pádraig Mulholland,MA2,Battle on the Bann ‘23 in association with Flickline Disc golf ,396.0,18.0,50
Alan Hogg,MA2,Battle on the Bann ‘23 in association with Flickline Disc golf ,397.0,19.0,47
David Finley,MA40,Battle on the Bann ‘23 in association with Flickline Disc golf ,403.0,20.0,44
Jack Gibson,MA2,Battle on the Bann ‘23 in association with Flickline Disc golf ,404.0,21.0,41
Gary Parr,MA40,Battle on the Bann ‘23 in association with Flickline Disc golf ,405.0,22.0,38
Jennifer Houghtaling,FA1,Battle on the Bann ‘23 in association with Flickline Disc golf ,417.0,23.0,35
Patrick Grant,MA2,Battle on the Bann ‘23 in association with Flickline Disc golf ,418.0,24.0,33
Brian Rainey,MA40,Battle on the Bann ‘23 in association with Flickline Disc golf ,419.0,25.0,30
James Houck,MA40,Battle on the Bann ‘23 in association with Flickline Disc golf ,423.0,26.0,27
Rachel Kane,FA2,Battle on the Bann ‘23 in association with Flickline Disc golf ,439.0,27.0,24
Bronagh Murray,FA2,Battle on the Bann ‘23 in association with Flickline Disc golf ,447.0,28.0,21
Aobh Sharvin,FA2,Battle on the Bann ‘23 in association with Flickline Disc golf ,454.0,29.0,18
Pádraig Ó Gráda,MA2,Battle on the Bann ‘23 in association with Flickline Disc golf ,457.0,30.0,15
Corey Hanna,FA2,Battle on the Bann ‘23 in association with Flickline Disc golf ,495.0,31.0,12
Clare Maguire,FA2,Battle on the Bann ‘23 in association with Flickline Disc golf ,539.0,32.0,9
Asim Ali,MPO,Battle on the Bann ‘23 in association with Flickline Disc golf ,1998.0,33.0,6
Isaac McCauley,MA1,Battle on the Bann ‘23 in association with Flickline Disc golf ,1998.0,33.0,6
Eavan O’Brien,FA1,Battle on the Bann ‘23 in association with Flickline Disc golf ,1998.0,33.0,6
James Luton,MPO,Farewell Fanmore ,171.0,1.0,100
Pete Dawson,MPO,Farewell Fanmore ,179.0,2.0,97
Ben Bolton,MPO,Farewell Fanmore ,199.0,3.0,95
Jamie Doak,MA2,Farewell Fanmore ,200.0,4.0,93
Kyle Roderick,MA2,Farewell Fanmore ,201.0,5.0,91
Trevor Bechtel,MA40,Farewell Fanmore ,205.0,6.0,89
Lloyd Wells,MA40,Farewell Fanmore ,209.0,7.0,87
John Gore,MA50,Farewell Fanmore ,210.0,8.0,85
Ewan Penman,MA2,Farewell Fanmore ,210.0,8.0,85
Thomas Wells,MA2,Farewell Fanmore ,211.0,10.0,81
Jon Luke Henderson,MA3,Farewell Fanmore ,211.0,10.0,81
David Wilson,MA40,Farewell Fanmore ,213.0,12.0,77
Graham McGill,MA40,Farewell Fanmore ,214.0,13.0,75
Neal Pickett,MP40,Farewell Fanmore ,215.0,14.0,73
Michael McGowan,MA40,Farewell Fanmore ,222.0,15.0,71
Zvi Teff,MA2,Farewell Fanmore ,224.0,16.0,69
Adrian Sorin Mutei,MA2,Farewell Fanmore ,224.0,16.0,69
Stephen Scott,MA3,Farewell Fanmore ,226.0,18.0,64
Andrea Trevisan,MA3,Farewell Fanmore ,227.0,19.0,62
James Reddaway,MA3,Farewell Fanmore ,228.0,20.0,60
David Faithfull,MA2,Farewell Fanmore ,231.0,21.0,58
Richard Clegg,MA50,Farewell Fanmore ,233.0,22.0,56
Tim Herring,MA50,Farewell Fanmore ,234.0,23.0,54
Jamie Wells,MA2,Farewell Fanmore ,234.0,23.0,54
Peter Keightley,MA50,Farewell Fanmore ,237.0,25.0,50
Michael Varrow,MA3,Farewell Fanmore ,239.0,26.0,48
Connor Mackenzie,MJ18,Farewell Fanmore ,242.0,27.0,46
Grant Lopes,MA3,Farewell Fanmore ,244.0,28.0,44
Iain MacKenzie (oggie),MA3,Farewell Fanmore ,246.0,29.0,42
David Mckie,MA3,Farewell Fanmore ,248.0,30.0,40
Carl Roderick,MA3,Farewell Fanmore ,248.0,30.0,40
Anthony Jackson,MA3,Farewell Fanmore ,251.0,32.0,36
Ian MacDougall (dingle),MA3,Farewell Fanmore ,252.0,33.0,34
Davie Graham,MA50,Farewell Fanmore ,273.0,34.0,31
Roisin Kelly,FA3,Farewell Fanmore ,286.0,35.0,29
Shaun MacEachen,MA3,Farewell Fanmore ,291.0,36.0,27
Jessica Clegg,FJ18,Farewell Fanmore ,333.0,37.0,25
Charlie Mead,MP60,Farewell Fanmore ,1998.0,38.0,23
Arvind Sood,MA50,Farewell Fanmore ,1998.0,38.0,23
Trant Luard,MA65,Farewell Fanmore ,1998.0,38.0,23
John Clark,MA2,Farewell Fanmore ,1998.0,38.0,23
Ricci Russle,MA2,Farewell Fanmore ,1998.0,38.0,23
Callum Beattie,MA2,Farewell Fanmore ,1998.0,38.0,23
Laura Fyfe,MA3,Farewell Fanmore ,1998.0,38.0,23
Ally Pollock,MA3,Farewell Fanmore ,1998.0,38.0,23
Rhia Edwards,FA3,Farewell Fanmore ,1998.0,38.0,23
Tandala MacRae,FA3,Farewell Fanmore ,1998.0,38.0,23
Benny Sood,MJ18,Farewell Fanmore ,1998.0,38.0,23
Ollie Henderson,FJ18,Farewell Fanmore ,1998.0,38.0,23
Scott Stokely,MPO,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,165.0,1.0,120
Iain McDougall,MPO,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,188.0,2.0,116
Liam Pitt,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,195.0,3.0,114
Grant Snowden,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,196.0,4.0,110
Michael Sharkey,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,196.0,4.0,110
John Bruce,MPO,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,197.0,6.0,105
Daniel Bowles,MA2,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,198.0,7.0,102
Gareth Vickers,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,199.0,8.0,99
Niall Millband,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,200.0,9.0,97
Florian Koralambe,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,202.0,10.0,93
Woodstock Harding,MP40,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,204.0,11.0,91
Alan Davidson,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,204.0,11.0,91
Luke Dodd Adkins,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,205.0,13.0,85
Adam Mackrory,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,209.0,14.0,82
Bella Tait,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,209.0,14.0,82
Paul Stoddart,MP40,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,210.0,16.0,76
Richard Hooper,MA40,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,210.0,16.0,76
Scott Jenkins,MA2,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,212.0,18.0,70
Zaki Naqvi,MA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,214.0,19.0,68
Iestyn Crompton,MA3,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,214.0,19.0,68
Jon Cicuttin,MA40,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,215.0,21.0,62
Paul Waite,MA40,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,215.0,21.0,62
Jack Goolden,MA40,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,215.0,21.0,62
Craig Pettitt,MP40,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,218.0,24.0,54
Johnnie Symington-Mauro,MA2,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,218.0,24.0,54
Chris Malmgard,MA2,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,218.0,24.0,54
Zvi Teff,MA2,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,221.0,27.0,45
Alun Pinder,MA2,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,223.0,28.0,43
Jake Clarke,MA3,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,223.0,28.0,43
Elva-Kate Preston,FA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,224.0,30.0,37
Byron Humphries,MA3,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,226.0,31.0,34
Natalie Eykyn,FA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,230.0,32.0,31
Jordon Venables,MA3,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,233.0,33.0,28
KJ Phillips,MA3,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,235.0,34.0,26
Melodie Zehnder,FA1,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,241.0,35.0,22
Ben Ramsay,MA4,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,251.0,36.0,20
Tim Herring,MA50,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,253.0,37.0,18
Rachel Ireland-Jones,FA2,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,263.0,38.0,14
Zac Bowles,MJ18,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,264.0,39.0,12
Mike Bowles,MA4,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,274.0,40.0,9
Ophelia Byrne,FA3,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,278.0,41.0,6
Christopher Staddon,MA40,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,302.0,42.0,3
Marek Nowak,MA50,The Welsh Open 2023 ~ The Dragon Fights Back ~ BDGA Open Tour / Quaich Tour,1998.0,43.0,1
Ben Heywood,MA1,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,123.0,1.0,100
Callum Taylor,MA2,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,125.0,2.0,98
Tiffany Strandbygaard,MA1,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,126.0,3.0,96
Ben Preston,MA1,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,126.0,3.0,96
Andrew Finlay,MA40,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,128.0,5.0,92
Sami Havuluoto,MA1,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,129.0,6.0,91
Fergus McLean,MA1,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,129.0,6.0,91
Graham McGill,MA40,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,131.0,8.0,87
Iain McGarrity,MA1,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,132.0,9.0,85
Paul Hodgson,MA40,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,132.0,9.0,85
Jack Edgar,MA2,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,133.0,11.0,82
Ross MacSporran,MA1,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,135.0,12.0,80
Lloyd Wells,MA40,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,135.0,12.0,80
Kyle Roderick,MA2,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,138.0,14.0,76
David Wilson,MA40,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,139.0,15.0,74
Peter Dagen,MA1,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,140.0,16.0,73
Ewan Penman,MA2,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,141.0,17.0,71
Robert Ng,MA40,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,142.0,18.0,69
Ross Brown,MA40,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,142.0,18.0,69
Cole Hamilton,MA2,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,142.0,18.0,69
Joshua Black,MA2,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,145.0,21.0,64
Nathan Cox,MA1,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,146.0,22.0,62
David Faithfull,MA40,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,147.0,23.0,60
Callum Girdwood,MA4,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,263.0,24.0,58
Ross Johnstone,MA4,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,266.0,25.0,56
Richard Beaumont,MA4,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,268.0,26.0,54
James McHardy,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,271.0,27.0,53
Hamish Dickson,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,271.0,27.0,53
Stuart Lockhart,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,272.0,29.0,49
Euan Pettitt,MA50,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,275.0,30.0,47
Thomas Dunn,MA4,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,275.0,30.0,47
Richard Clegg,MA50,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,277.0,32.0,44
Ryan Junor,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,279.0,33.0,42
Laura Fyfe,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,279.0,33.0,42
Andrea Trevisan,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,280.0,35.0,38
Gus Rochester,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,281.0,36.0,37
Jason Glen,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,281.0,36.0,37
John Hood,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,282.0,38.0,33
Peter Morrison,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,282.0,38.0,33
Taran Fiddes,MA3,Bluebell Woods Pro/Am presented by Dynamic Discs - All Am,282.0,38.0,33
